web_scraper_order,web_scraper_start_url,pagination,data,photo,item_page_title,item_page_link,Color_Number,Color_Description,Natural_Finished,whole_article_number,image
"1777644694-1","https://catalog.preciosa-ornela.com/catalog-beads#","","59195","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-90001-2x4mm-59195.webp?v=1774867375","59195
                                2/4mm
                                361-90001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/87064","59195","red iris","finished","Red Iris","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-90001-2x4mm-59195.webp?v=1774867375
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-90001-2x4mm-59195-row.webp?v=1774867375
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/361-90001-Cut_Farfalle-RH.webp?v=1752045440"
"1777644697-2","https://catalog.preciosa-ornela.com/catalog-beads#","","59155","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-90001-2x4mm-59155.webp?v=1774867375","59155
                                2/4mm
                                361-90001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/87063","59155","green iris","finished","Green Iris","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-90001-2x4mm-59155.webp?v=1774867375
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-90001-2x4mm-59155-row.webp?v=1774867375
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/361-90001-Cut_Farfalle-RH.webp?v=1752045440"
"1777644699-3","https://catalog.preciosa-ornela.com/catalog-beads#","","59135","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-90001-2x4mm-59135.webp?v=1774867375","59135
                                2/4mm
                                361-90001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/87062","59135","blue iris","finished","Blue Iris","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-90001-2x4mm-59135.webp?v=1774867375
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-90001-2x4mm-59135-row.webp?v=1774867375
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/361-90001-Cut_Farfalle-RH.webp?v=1752045440"
"1777644701-4","https://catalog.preciosa-ornela.com/catalog-beads#","","59115","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-90001-2x4mm-59115.webp?v=1774867375","59115
                                2/4mm
                                361-90001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/87061","59115","brown iris","finished","Brown Iris","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-90001-2x4mm-59115.webp?v=1774867375
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-90001-2x4mm-59115-row.webp?v=1774867375
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/361-90001-Cut_Farfalle-RH.webp?v=1752045440"
"1777644704-5","https://catalog.preciosa-ornela.com/catalog-beads#","","49102","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-90001-2x4mm-49102.webp?v=1774867375","49102
                                2/4mm
                                361-90001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/87060","49102","hematite","finished","metallic","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-90001-2x4mm-49102.webp?v=1774867375
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-90001-2x4mm-49102-row.webp?v=1774867375
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/361-90001-Cut_Farfalle-RH.webp?v=1752045440"
"1777644706-6","https://catalog.preciosa-ornela.com/catalog-beads#","","96050","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-31001-9_0-96050.webp?v=1774867365","96050
                                9/0
                                361-31001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/1234","96050","transp. lt. red,  sfinx","finished","Sfinx","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-31001-9_0-96050.webp?v=1774867365
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-31001-9_0-96050-row.webp?v=1774867365
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/361-31001-3cuts-RH.webp?v=1752045440"
"1777644708-7","https://catalog.preciosa-ornela.com/catalog-beads#","","95081","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-31001-9_0-95081.webp?v=1774867374","95081
                                9/0
                                361-31001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/60403","95081","satin red","natural","361-31001-9/0-95081","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-31001-9_0-95081.webp?v=1774867374
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-31001-9_0-95081-row.webp?v=1774867374
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/361-31001-3cuts-RH.webp?v=1752045440"
"1777644711-8","https://catalog.preciosa-ornela.com/catalog-beads#","","85091","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-31001-9_0-85091.webp?v=1774867374","85091
                                9/0
                                361-31001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/60402","85091","satin orange","natural","361-31001-9/0-85091","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-31001-9_0-85091.webp?v=1774867374
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-31001-9_0-85091-row.webp?v=1774867374
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/361-31001-3cuts-RH.webp?v=1752045440"
"1777644713-9","https://catalog.preciosa-ornela.com/catalog-beads#","","63265","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-31001-9_0-63265.webp?v=1774867365","63265
                                9/0
                                361-31001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/1233","63265","blue-green 1 dyed chalkwhite,  sfinx","finished","Sfinx","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-31001-9_0-63265.webp?v=1774867365
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-31001-9_0-63265-row.webp?v=1774867365
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/361-31001-3cuts-RH.webp?v=1752045440"
"1777644715-10","https://catalog.preciosa-ornela.com/catalog-beads#","","63153","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-31001-9_0-63153.webp?v=1774867364","63153
                                9/0
                                361-31001
                            
                            
                            
                            
                                
                                    
                                        
                                    
                                    
                                        
                                            
                                        
                                        Save to wishlist
                                        Můj výběr","https://catalog.preciosa-ornela.com/detail/1232","63153","green 2 dyed chalkwhite,  sfinx","finished","Sfinx","https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-31001-9_0-63153.webp?v=1774867364
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky/361-31001-9_0-63153-row.webp?v=1774867364
https://catalog.preciosa-ornela.com/produkty/perlicky/fotky_dirky/361-31001-3cuts-RH.webp?v=1752045440"
